G_id	pid	Cluster
NC_073201.1	YP_010747703.1_41	A
NC_073202.1	YP_010747772.1_47	A
NC_073203.1	YP_010747823.1_31	A
NC_073207.1	YP_010748064.1_18	A
NC_073208.1	YP_010748125.1_26	A
NC_073209.1	YP_010748162.1_6	A
NC_073211.1	YP_010748298.1_37	A
NC_073212.1	YP_010748343.1_28	A
NC_073213.1	YP_010748406.1_26	A
NC_073214.1	YP_010748481.1_38	A
NC_073215.1	YP_010748512.1_4	A
NC_073216.1	YP_010748575.1_5	A
NC_073217.1	YP_010748688.1_48	A
NC_073218.1	YP_010748749.1_38	A
NC_073219.1	YP_010748806.1_39	A
NC_073314.1	YP_010748874.1_48	A
NC_073316.1	YP_010749009.1_30	A
NC_073317.1	YP_010749084.1_28	A
NC_073321.1	YP_010749394.1_37	A
NC_093712.1	YP_011217191.1_3	A
NC_093713.1	YP_011217263.1_8	A
NC_016763.1	YP_005098153.1_57	A
NC_021317.1	YP_008058254.1_8	A
NC_023608.1	YP_009009952.1_28	A
NC_024204.1	YP_009035165.1_28	A
NC_026017.1	YP_009113175.1_28	A
NC_031021.1	YP_009280168.1_40	A
NC_031925.1	YP_009322856.1_49	A
NC_042065.1	YP_009617944.1_25	A
NC_073170.1	YP_010745802.1_38	A
NC_073204.1	YP_010747918.1_50	A
NC_073205.1	YP_010747958.1_31	A
NC_073206.1	YP_010748033.1_49	A
NC_073210.1	YP_010748238.1_23	A
NC_025466.1	YP_009103926.1_40	A
NC_025471.1	YP_009104265.1_28	B
NC_031918.1	YP_009322249.1_52	B
NC_031924.1	YP_009322780.1_67	B
NC_054639.1	YP_010053346.1_63	B
NC_054637.1	YP_010053153.1_29	B
NC_054640.1	YP_010053420.1_47	B
NC_054642.1	YP_010053565.1_32	B
NC_054644.1	YP_010053740.1_57	B
NC_054645.1	YP_010053778.1_13	B
NC_054646.1	YP_010053891.1_39	B
NC_054647.1	YP_010053951.1_16	B
NC_054648.1	YP_010054082.1_62	B
NC_054649.1	YP_010054112.1_4	B
NC_054650.1	YP_010054212.1_16	B
NC_054651.1	YP_010054281.1_6	B
NC_070846.1	YP_010657369.1_2	B
NC_071144.1	YP_010685103.1_4	B
NC_071145.1	YP_010685197.1_17	B
NC_010495.1	YP_001742072.1_35	B
NC_021534.1	YP_008126232.1_68	B
NC_042037.1	YP_009614658.1_62	B
NC_054638.1	YP_010053258.1_48	B
NC_054641.1	YP_010053509.1_61	B
NC_054643.1	YP_010053681.1_76	B
NC_054652.1	YP_010054356.1_5	B
NC_054653.1	YP_010054428.1_13	B
NC_054654.1	YP_010054542.1_49	B
NC_071142.1	YP_010684975.1_52	B
NC_071143.1	YP_010685006.1_3	B
NC_071146.1	YP_010685295.1_37	B
NC_071147.1	YP_010685339.1_1	B
NC_071148.1	YP_010685459.1_43	B
NC_071149.1	YP_010685562.1_68	B
NC_071150.1	YP_010685647.1_69	B
NC_071151.1	YP_010685719.1_57	B
NC_071152.1	YP_010685763.1_30	B
NC_071153.1	YP_010685868.1_57	B
NC_071154.1	YP_010685917.1_23	B
NC_071155.1	YP_010686024.1_52	B
NC_071156.1	YP_010686107.1_56	B
NC_071157.1	YP_010686190.1_59	B
NC_054636.1	YP_010053061.1_17	B
NC_048198.1	YP_009824047.1_17	B
NC_019927.1	YP_007237618.1_44	B
NC_071003.1	YP_010675369.1_21	B
NC_070824.1	YP_010655303.1_4	B
NC_028819.1	YP_009200200.1_14	B
NC_070822.1	YP_010655179.1_15	B
NC_002484.2	NP_061517.1_20	C
NC_016765.1	YP_005098223.1_20	C
NC_011373.1	YP_002284353.1_19	C
NC_029066.1	YP_009222842.1_72	C
NC_030929.1	YP_009275521.1_34	C
NC_016762.1	YP_005098084.1_57	C
NC_074663.1	YP_010773399.1_9	C
NC_074664.1	YP_010773482.1_14	C
NC_030909.1	YP_009273704.1_22	C
NC_041925.1	YP_009600624.1_42	D
NC_025443.1	YP_009101221.1_51	D
NC_042062.1	YP_009617880.1_51	D
NC_047786.1	YP_009787821.1_47	D
NC_071011.1	YP_010676308.1_51	D
NC_031098.1	YP_009289765.1_26	F
NC_073031.1	YP_010738739.1_12	F
NC_070772.1	YP_010649711.1_24	E
